1.0758993789e-07	0.010994	23.9955510425	0.09422
1.0758993789e-07	0.01251	23.9955510425	0.099025
1.05808696389e-07	0.020308	23.9999969105	0.258856
1.05808696389e-07	0.02441	23.9999985396	0.405036
1.0580823829e-07	0.024502	23.9999999894	0.483729
1.0580823829e-07	0.021928	23.9999999975	0.486304
1.0580823829e-07	0.022897	23.9999999991	0.621797
1.0580823829e-07	0.020277	23.9999999991	0.722158
1.0580823829e-07	0.02324	24	1.103905
1.0580823829e-07	0.020805	24	1.047021
1.0580823829e-07	0.021006	24	1.477039
1.0580823829e-07	0.019507	24	1.83663
